"word","reading","romaji","jlpt_level","pos","meaning_vi","meaning_en","tags","frequency","source","source_id","license","attribution","example_jp","example_reading","example_vi","example_en","review_status","meaning_source"
"書く","かく","kaku","N5","verb","viết | vẽ | soạn | khắc","to write | to draw | to compose | to inscribe","","895","jmdict","2000001","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","手紙を書きます。","てがみをかきます。","Tôi viết thư.","I write a letter.","ai_draft","jmdict_ai"
"話す","はなす","hanasu","N5","verb","nói chuyện | nói | kể | trò chuyện","to talk | to speak | to tell | to converse","","890","jmdict","2000002","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","日本語で話します。","にほんごではなします。","Tôi nói tiếng Nhật.","I speak Japanese.","ai_draft","jmdict_ai"
"読む","よむ","yomu","N5","verb","đọc","to read","","900","jmdict","2000003","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","本を読みます。","ほんをよみます。","Tôi đọc sách.","I read a book.","ai_draft","jmdict_ai"
"起きる","おきる","okiru","N5","verb","thức dậy | ngồi dậy | tỉnh giấc","to get up | to rise | to wake up","","885","jmdict","2000004","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","七時に起きます。","しちじにおきます。","Tôi thức dậy lúc 7 giờ.","I wake up at 7.","ai_draft","jmdict_ai"
"寝る","ねる","neru","N5","verb","nằm xuống | đi ngủ | ngủ thiếp đi | ngủ","to lie down | to go to sleep | to fall asleep | to sleep","","880","jmdict","2000005","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","もう寝ます。","もうねます。","Tôi đi ngủ đây.","I'm going to sleep.","ai_draft","jmdict_ai"
"帰る","かえる","kaeru","N5","verb","trở về | quay lại | về nhà | trở lại","to return | to come back | to go home | to go back","","915","jmdict","2000006","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","家に帰ります。","いえにかえります。","Tôi về nhà.","I go home.","ai_draft","jmdict_ai"
"入る","はいる","hairu","N5","verb","vào | đi vào | bước vào | tham gia","to enter | to go in | to come in | to join","","930","jmdict","2000007","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","部屋に入ります。","へやにはいります。","Tôi vào phòng.","I enter the room.","ai_draft","jmdict_ai"
"出る","でる","deru","N5","verb","rời | ra khỏi | ra ngoài | xuất hiện | hiện ra","to leave | to exit | to go out | to come out | to appear","","925","jmdict","2000008","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","家を出ます。","いえをでます。","Tôi ra khỏi nhà.","I leave the house.","ai_draft","jmdict_ai"
"開ける","あける","akeru","N5","verb","mở | mở khóa | bắt đầu","to open | to unlock | to start","","855","jmdict","2000009","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","ドアを開けます。","ドアをあけます。","Tôi mở cửa.","I open the door.","ai_draft","jmdict_ai"
"閉める","しめる","shimeru","N5","verb","đóng | đóng lại | cài then | khóa","to close | to shut | to fasten | to lock","","850","jmdict","2000010","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","ドアを閉めます。","ドアをしめます。","Tôi đóng cửa.","I close the door.","ai_draft","jmdict_ai"
"使う","つかう","tsukau","N5","verb","dùng | sử dụng | thao tác | thuê dùng","to use | to make use of | to handle | to employ","","910","jmdict","2000011","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","スマホを使います。","スマホをつかいます。","Tôi dùng điện thoại.","I use my phone.","ai_draft","jmdict_ai"
"買う","かう","kau","N5","verb","mua | mua sắm","to buy | to purchase","","905","jmdict","2000012","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","野菜を買います。","やさいをかいます。","Tôi mua rau.","I buy vegetables.","ai_draft","jmdict_ai"
"売る","うる","uru","N5","verb","bán | buôn bán","to sell | to vend","","840","jmdict","2000013","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","本を売ります。","ほんをうります。","Tôi bán sách.","I sell books.","ai_draft","jmdict_ai"
"待つ","まつ","matsu","N5","verb","đợi | chờ đợi","to wait | to await","","870","jmdict","2000014","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","バスを待ちます。","バスをまちます。","Tôi đợi xe buýt.","I wait for the bus.","ai_draft","jmdict_ai"
"会う","あう","au","N5","verb","gặp | gặp gỡ | gặp mặt","to meet | to encounter | to see","","920","jmdict","2000015","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","友達に会います。","ともだちにあいます。","Tôi gặp bạn bè.","I meet my friends.","ai_draft","jmdict_ai"
"知る","しる","shiru","N5","verb","nhận biết | biết | tìm ra","to be aware of | to know | to find out","","875","jmdict","2000016","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","その人を知っています。","そのひとをしっています。","Tôi biết người đó.","I know that person.","ai_draft","jmdict_ai"
"思う","おもう","omou","N5","verb","nghĩ | xem xét | tin | cảm thấy","to think | to consider | to believe | to feel","","950","jmdict","2000017","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","いいと思います。","いいとおもいます。","Tôi nghĩ là tốt.","I think it's good.","ai_draft","jmdict_ai"
"わかる","わかる","wakaru","N5","verb","hiểu | nắm rõ | nắm được | thấy | tiếp thu","to understand | to comprehend | to grasp | to see | to get","","970","jmdict","2000018","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","日本語がわかります。","にほんごがわかります。","Tôi hiểu tiếng Nhật.","I understand Japanese.","ai_draft","jmdict_ai"
"できる","できる","dekiru","N5","verb","có thể làm | có thể | có khả năng","to be able to do | to be possible | to be capable of","","960","jmdict","2000019","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","料理ができます。","りょうりができます。","Tôi biết nấu ăn.","I can cook.","ai_draft","jmdict_ai"
