word,reading,level
# ── Verbs: Movement / Physical ──
集まる,あつまる,N4
集める,あつめる,N4
歩く,あるく,N4
動かす,うごかす,N4
動く,うごく,N4
打つ,うつ,N4
受け取る,うけとる,N4
押す,おす,N4
落とす,おとす,N4
落ちる,おちる,N4
下ろす,おろす,N4
泳ぐ,およぐ,N4
折る,おる,N4
折れる,おれる,N4
踊る,おどる,N4
# ── Verbs: Change / State ──
変える,かえる,N4
変わる,かわる,N4
消える,きえる,N4
消す,けす,N4
切れる,きれる,N4
決める,きめる,N4
決まる,きまる,N4
壊す,こわす,N4
壊れる,こわれる,N4
逃げる,にげる,N4
直す,なおす,N4
直る,なおる,N4
増える,ふえる,N4
増やす,ふやす,N4
減る,へる,N4
減らす,へらす,N4
# ── Verbs: Communication / Thinking ──
伝える,つたえる,N4
知らせる,しらせる,N4
調べる,しらべる,N4
比べる,くらべる,N4
感じる,かんじる,N4
気づく,きづく,N4
申し込む,もうしこむ,N4
相談する,そうだんする,N4
説明する,せつめいする,N4
用意する,ようする,N4
# ── Verbs: Daily Life ──
急ぐ,いそぐ,N4
選ぶ,えらぶ,N4
起こす,おこす,N4
起こる,おこる,N4
置く,おく,N4
思い出す,おもいだす,N4
片づく,かたづく,N4
通う,かよう,N4
勝つ,かつ,N4
負ける,まける,N4
噛む,かむ,N4
乾く,かわく,N4
渇く,かわく,N4
気をつける,きをつける,N4
# ── Verbs: Work / Study ──
過ぎる,すぎる,N4
捨てる,すてる,N4
住む,すむ,N4
済む,すむ,N4
続く,つづく,N4
続ける,つづける,N4
疲れる,つかれる,N4
届く,とどく,N4
届ける,とどける,N4
直す,なおす,N4
習う,ならう,N4
並ぶ,ならぶ,N4
並べる,ならべる,N4
残す,のこす,N4
残る,のこる,N4
払う,はらう,N4
引く,ひく,N4
拾う,ひろう,N4
踏む,ふむ,N4
間に合う,まにあう,N4
回る,まわる,N4
向く,むく,N4
迎える,むかえる,N4
戻る,もどる,N4
呼ぶ,よぶ,N4
喜ぶ,よろこぶ,N4
渡す,わたす,N4
渡る,わたる,N4
笑う,わらう,N4
# ── Verbs: Food / Household ──
温める,あたためる,N4
冷める,さめる,N4
炊く,たく,N4
沸かす,わかす,N4
沸く,わく,N4
焼く,やく,N4
焼ける,やける,N4
蒸す,むす,N4
混ぜる,まぜる,N4
切る,きる,N4
# ── Verbs: Clothes / Accessories ──
着る,きる,N4
脱ぐ,ぬぐ,N4
履く,はく,N4
かぶる,かぶる,N4
# ── Verbs: Coming / Going / Interaction ──
乗り換える,のりかえる,N4
送る,おくる,N4
受ける,うける,N4
差し上げる,さしあげる,N4
返す,かえす,N4
貸す,かす,N4
借りる,かりる,N4
触る,さわる,N4
触れる,ふれる,N4
連れる,つれる,N4
案内する,あんないする,N4
# ── Verbs: Nature / Other ──
光る,ひかる,N4
光らせる,ひからせる,N4
流れる,ながれる,N4
流す,ながす,N4
揺れる,ゆれる,N4
# ── Adjectives: i-adj ──
厳しい,きびしい,N4
悔しい,くやしい,N4
怖い,こわい,N4
細かい,こまかい,N4
寂しい,さびしい,N4
酸っぱい,すっぱい,N4
正しい,ただしい,N4
楽しい,たのしい,N4
珍しい,めずらしい,N4
難しい,むずかしい,N4
羨ましい,うらやましい,N4
懐かしい,なつかしい,N4
恥ずかしい,はずかしい,N4
親しい,したしい,N4
悲しい,かなしい,N4
嬉しい,うれしい,N4
眠い,ねむい,N4
丸い,まるい,N4
柔らかい,やわらかい,N4
固い,かたい,N4
暖かい,あたたかい,N4
涼しい,すずしい,N4
暑い,あつい,N4
寒い,さむい,N4
# ── Adjectives: na-adj ──
安全,あんぜん,N4
以外,いがい,N4
一生懸命,いっしょうけんめい,N4
丁寧,ていねい,N4
特別,とくべつ,N4
不思議,ふしぎ,N4
普通,ふつう,N4
便利,べんり,N4
有名,ゆうめい,N4
豊か,ゆたか,N4
親切,しんせつ,N4
真剣,しんけん,N4
正直,しょうじき,N4
自由,じゆう,N4
自然,しぜん,N4
十分,じゅうぶん,N4
# ── Nouns: People / Relationships ──
赤ちゃん,あかちゃん,N4
お客さん,おきゃくさん,N4
大人,おとな,N4
お年寄り,おとしより,N4
家族,かぞく,N4
彼女,かのじょ,N4
彼,かれ,N4
子供,こども,N4
社会人,しゃかいじん,N4
主人,しゅじん,N4
先輩,せんぱい,N4
後輩,こうはい,N4
仲間,なかま,N4
隣人,りんじん,N4
