word,reading,romaji,jlpt_level,pos,meaning_vi,meaning_en,tags,frequency,source,source_id,license,attribution,example_jp,example_reading,example_vi,example_en,review_status,meaning_source
"崩す","くずす","","N4","v5s|vt","phá hủy | hạ xuống | làm mất cân bằng | thư giãn tư thế | đổi tiền lẻ | viết theo thể chảy | bật cười","to destroy | to demolish | to pull down | to tear down | to level | to disturb | to put into disorder | to throw off balance | to make shaky | to relax (one's pose) | to make oneself at ease | to break (a bill) | to change | to make change | to write in cursive style | to break into a smile | to lower (a price)","","0","jmdict","1516260","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","体調を崩します。","たいちょうをくずします。","Sức khỏe của tôi suy giảm.","My health deteriorates.","ai_draft","jmdict_ai"
"崩れる","くずれる","","N4","v1|vi","sụp đổ | vỡ vụn | mất hình dạng | bị xáo trộn | lao dốc (thị trường) | xấu đi (thời tiết)","to collapse | to crumble | to get out of shape | to lose one's shape | to become disorganized | to become untidy | to break down | to be thrown into disarray | to crash (stock market) | to slump | to decline | to turn bad (e.g. weather) | to change for the worse | to deteriorate","","0","jmdict","1516270","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","計画が崩れます。","けいかくがくずれます。","Kế hoạch sụp đổ.","The plan falls apart.","ai_draft","jmdict_ai"
"揺らす","ゆらす","","N4","v5s|vt","lắc | rung | dao động","to rock | to shake | to swing","","0","jmdict","1545640","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","体を揺らします。","からだをゆらします。","Tôi lắc cơ thể.","I rock my body.","ai_draft","jmdict_ai"
"溶かす","とかす","","N4","v5s|vt","làm tan chảy | làm hóa lỏng | pha tan | làm cạn kiệt (tiền)","to melt | to liquefy | to thaw | to dissolve (in a liquid) | to bring into solution | to lose (money; through gambling, etc.) | to squander","","0","jmdict","1546040","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","砂糖を溶かします。","さとうをとかします。","Tôi pha tan đường.","I dissolve the sugar.","ai_draft","jmdict_ai"
"溶ける","とける","","N4","v1|vi","tan chảy | hóa lỏng | tan ra (trong chất lỏng) | cạn dần","to melt | to liquefy | to soften (e.g. through heat) | to thaw | to dissolve (in a liquid) | to be soluble (in) | to be used up (of money or time) | to be wasted | to melt away","","0","jmdict","1546070","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","氷が溶けます。","こおりがとけます。","Đá tan chảy.","The ice melts.","ai_draft","jmdict_ai"
"論文","ろんぶん","","N4","n","luận văn | tiểu luận | bài viết | bài báo khoa học","thesis | essay | treatise | paper | article","","0","jmdict","1561840","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","論文を書きます。","ろんぶんをかきます。","Tôi viết luận văn.","I write a thesis.","ai_draft","jmdict_ai"
"仮説","かせつ","","N4","n","giả thuyết | giả định | lý thuyết tạm thời","hypothesis | supposition | assumption | tentative theory","","0","jmdict","1590320","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","仮説を立てます。","かせつをたてます。","Tôi đặt ra giả thuyết.","I set up a hypothesis.","ai_draft","jmdict_ai"
"踏切","ふみきり","","N4","n","đường giao cắt đường sắt | vạch xuất phát | quyết tâm bước ra","railway crossing | railroad crossing | train crossing | level crossing | starting line | scratch | determination | stepping over the edge of the ring","","0","jmdict","1602840","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","踏切を渡ります。","ふみきりをわたります。","Tôi qua đường giao cắt đường sắt.","I cross the railway crossing.","ai_draft","jmdict_ai"
"処方箋","しょほうせん","","N4","n","đơn thuốc","prescription","","0","jmdict","1655680","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","処方箋をもらいます。","しょほうせんをもらいます。","Tôi nhận đơn thuốc.","I receive a prescription.","ai_draft","jmdict_ai"
"社会問題","しゃかいもんだい","","N4","n","vấn đề xã hội","social problem","","0","jmdict","1658870","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","社会問題を解決します。","しゃかいもんだいをかいけつします。","Chúng tôi giải quyết vấn đề xã hội.","We solve social problems.","ai_draft","jmdict_ai"
