word,reading,romaji,jlpt_level,pos,meaning_vi,meaning_en,tags,frequency,source,license,example_jp,example_reading,example_vi,example_en
こんにちは,こんにちは,konnichiwa,N5,interjection,xin chào,hello,greeting|daily,980,self,self-authored,こんにちは！,こんにちは！,Xin chào!,Hello!
おはようございます,おはようございます,ohayou gozaimasu,N5,interjection,chào buổi sáng (trang trọng),good morning (formal),greeting|morning,970,self,self-authored,おはようございます。,おはようございます。,Chào buổi sáng ạ.,Good morning.
おはよう,おはよう,ohayou,N5,interjection,chào buổi sáng (thân mật),good morning (casual),greeting|morning,965,self,self-authored,おはよう！,おはよう！,Chào buổi sáng!,Good morning!
こんばんは,こんばんは,konbanwa,N5,interjection,chào buổi tối,good evening,greeting|evening,950,self,self-authored,こんばんは。,こんばんは。,Chào buổi tối.,Good evening.
さようなら,さようなら,sayounara,N5,interjection,tạm biệt,goodbye,greeting|farewell,940,self,self-authored,さようなら。,さようなら。,Tạm biệt.,Goodbye.
ありがとうございます,ありがとうございます,arigatou gozaimasu,N5,interjection,cảm ơn (trang trọng),thank you (formal),greeting|polite,930,self,self-authored,ありがとうございます。,ありがとうございます。,Cảm ơn ạ.,Thank you very much.
ありがとう,ありがとう,arigatou,N5,interjection,cảm ơn,thank you,greeting|daily,920,self,self-authored,ありがとう！,ありがとう！,Cảm ơn!,Thank you!
すみません,すみません,sumimasen,N5,interjection,xin lỗi; xin phép hỏi,excuse me; I'm sorry,greeting|daily,910,self,self-authored,すみません。,すみません。,Xin lỗi.,Excuse me.
ごめんなさい,ごめんなさい,gomen nasai,N5,interjection,xin lỗi (thành thật),I'm sorry (sincere),greeting|apology,905,self,self-authored,ごめんなさい。,ごめんなさい。,Xin lỗi nhé.,I'm sorry.
はい,はい,hai,N5,interjection,vâng; đúng; có,yes; understood,daily|response,900,self,self-authored,はい、わかりました。,はい、わかりました。,Vâng tôi hiểu rồi.,Yes I understand.
いいえ,いいえ,iie,N5,interjection,không (phủ định),no,daily|response,895,self,self-authored,いいえ、ちがいます。,いいえ、ちがいます。,Không không phải vậy.,No that is wrong.
どうぞ,どうぞ,douzo,N5,interjection,xin mời; mời dùng,please; go ahead,daily|polite,885,self,self-authored,どうぞ。,どうぞ。,Xin mời.,Please go ahead.
どういたしまして,どういたしまして,dou itashimashite,N5,interjection,không có chi; không dám,you're welcome,greeting|polite,875,self,self-authored,どういたしまして。,どういたしまして。,Không có chi.,You're welcome.
いただきます,いただきます,itadakimasu,N5,interjection,lời mời trước bữa ăn,let's eat; I will receive,meal|daily,865,self,self-authored,いただきます！,いただきます！,Mời cơm!,Let's eat!
ごちそうさまでした,ごちそうさまでした,gochisousama deshita,N5,interjection,cảm ơn bữa ăn,thank you for the meal,meal|daily,855,self,self-authored,ごちそうさまでした。,ごちそうさまでした。,Cảm ơn bữa ăn.,Thank you for the meal.
わたし,わたし,watashi,N5,noun,tôi,I; me,pronoun|daily,850,self,self-authored,わたしは学生です。,わたしはがくせいです。,Tôi là sinh viên.,I am a student.
わたしたち,わたしたち,watashitachi,N5,noun,chúng tôi,we; us,pronoun|daily,840,self,self-authored,わたしたちは日本語を勉強します。,わたしたちはにほんごをべんきょうします。,Chúng tôi học tiếng Nhật.,We study Japanese.
あなた,あなた,anata,N5,noun,bạn; anh/chị,you,pronoun|daily,835,self,self-authored,あなたの名前は何ですか。,あなたのなまえはなんですか。,Bạn tên là gì?,What is your name?
かれ,かれ,kare,N5,noun,anh ấy; chàng trai,he; him,pronoun|daily,825,self,self-authored,かれは学生です。,かれはがくせいです。,Anh ấy là sinh viên.,He is a student.
かのじょ,かのじょ,kanojo,N5,noun,cô ấy; chị ấy,she; her,pronoun|daily,820,self,self-authored,かのじょは先生です。,かのじょはせんせいです。,Cô ấy là giáo viên.,She is a teacher.
みんな,みんな,minna,N5,noun,mọi người; tất cả,everyone; all,daily|group,815,self,self-authored,みんなで食べましょう。,みんなでたべましょう。,Cùng nhau ăn nào.,Let's all eat together.
だれ,だれ,dare,N5,noun,ai,who,question,810,self,self-authored,あの人はだれですか。,あのひとはだれですか。,Người kia là ai?,Who is that person?
こちら,こちら,kochira,N5,noun,đây; hướng này; người này (lịch sự),this way; this person (polite),direction|polite,800,self,self-authored,こちらはやまださんです。,こちらはやまださんです。,Đây là anh Yamada.,This is Mr. Yamada.
そちら,そちら,sochira,N5,noun,đó; hướng đó (lịch sự),that way; that person (polite),direction|polite,795,self,self-authored,そちらはどうですか。,そちらはどうですか。,Phía đó thế nào?,How is it there?
