word,reading,romaji,jlpt_level,pos,meaning_vi,meaning_en,tags,frequency,source,source_id,license,attribution,example_jp,example_reading,example_vi,example_en,review_status,meaning_source
"例年","れいねん","","N3","n|adv","TODO_VI","average (normal, ordinary) year | every year | annually","","0","jmdict","1556570","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"冷笑","れいしょう","","N3","n|vs|vt","TODO_VI","sneer | derision | scornful laugh | cold smile","","0","jmdict","1557000","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"冷戦","れいせん","","N3","n","TODO_VI","cold war | the Cold War","","0","jmdict","1557060","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"冷凍","れいとう","","N3","n|vs|vt","TODO_VI","freezing | cold storage | refrigeration","","0","jmdict","1557170","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"励む","はげむ","","N3","v5m|vi","TODO_VI","to work hard | to try hard | to strive | to endeavour | to endeavor | to devote oneself to | to make an effort | to be zealous","","0","jmdict","1557390","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"足取り","あしとり","","N3","n","TODO_VI","downing an opponent by grabbing his leg","","0","jmdict","1708890","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"家系","いえけい","","N3","n","TODO_VI","ramen variety with pork bone and soy sauce broth","","0","jmdict","2867035","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"既に","すんでに","","N3","adv","TODO_VI","almost | nearly","","0","jmdict","2860958","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"大手","おおで","","N3","n","TODO_VI","full length of one's arm (from shoulder to fingertip)","","0","jmdict","2703560","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"対面","トイメン","","N3","n","TODO_VI","opposite player | opposite side | (person) directly opposite","","0","jmdict","2752960","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"大分","おおいた","","N3","n","TODO_VI","Ōita (city, prefecture)","","0","jmdict","2845086","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"大柄","おおへい","","N3","adj-na|n","TODO_VI","arrogant | haughty | insolent","","0","jmdict","2657290","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"断行","だんぎょう","","N3","n","TODO_VI","asceticism | practices that eliminate afflictions","","0","jmdict","2844618","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"男女","おとこおんな","","N3","n","TODO_VI","masculine woman | mannish woman | feminine man | effeminate man | intersexual | hermaphrodite","","0","jmdict","2120840","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"地質","じしつ","","N3","n","TODO_VI","quality of a fabric or cloth | texture of a fabric","","0","jmdict","2828178","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"中流","ちゅうる","","N3","n","TODO_VI","banishment (to a somewhat distant province) | middle-degree punishment of the three banishment punishments under the ritsuryō system","","0","jmdict","2834858","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"仲人","なかびと","","N3","n","TODO_VI","go-between | matchmaker","","0","jmdict","2772160","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"冷却","れいきゃく","","N3","n|vs|vt|vi","TODO_VI","cooling | refrigeration | cooling down (of a political conflict, etc.) | calming down","","0","jmdict","1556870","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"累積","るいせき","","N3","n|vs|vt|vi|adj-f","TODO_VI","accumulation | cumulative | accumulated","","0","jmdict","1556030","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"類似","るいじ","","N3","n|vs|vi|adj-no","TODO_VI","resemblance | similarity | likeness | analogy","","0","jmdict","1556100","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"類推","るいすい","","N3","n|vs|vt","TODO_VI","analogy | analogical reasoning | analogical inference | analogy","","0","jmdict","1556120","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"冷淡","れいたん","","N3","adj-na|n","TODO_VI","cool | indifferent | apathetic | half-hearted | cold | cold-hearted | heartless | unkind","","0","jmdict","1557150","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"冷酷","れいこく","","N3","adj-na|n","TODO_VI","cruelty | coldheartedness | relentless | ruthless","","0","jmdict","1556980","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
