"word","reading","romaji","jlpt_level","pos","meaning_vi","meaning_en","tags","frequency","source","source_id","license","attribution","example_jp","example_reading","example_vi","example_en","review_status","meaning_source"
"書く","かく","kaku","N5","verb","TODO_VI","to write | to draw | to compose | to inscribe","","895","jmdict","2000001","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"話す","はなす","hanasu","N5","verb","TODO_VI","to talk | to speak | to tell | to converse","","890","jmdict","2000002","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"読む","よむ","yomu","N5","verb","TODO_VI","to read","","900","jmdict","2000003","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"起きる","おきる","okiru","N5","verb","TODO_VI","to get up | to rise | to wake up","","885","jmdict","2000004","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"寝る","ねる","neru","N5","verb","TODO_VI","to lie down | to go to sleep | to fall asleep | to sleep","","880","jmdict","2000005","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"帰る","かえる","kaeru","N5","verb","TODO_VI","to return | to come back | to go home | to go back","","915","jmdict","2000006","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"入る","はいる","hairu","N5","verb","TODO_VI","to enter | to go in | to come in | to join","","930","jmdict","2000007","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"出る","でる","deru","N5","verb","TODO_VI","to leave | to exit | to go out | to come out | to appear","","925","jmdict","2000008","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"開ける","あける","akeru","N5","verb","TODO_VI","to open | to unlock | to start","","855","jmdict","2000009","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"閉める","しめる","shimeru","N5","verb","TODO_VI","to close | to shut | to fasten | to lock","","850","jmdict","2000010","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"使う","つかう","tsukau","N5","verb","TODO_VI","to use | to make use of | to handle | to employ","","910","jmdict","2000011","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"買う","かう","kau","N5","verb","TODO_VI","to buy | to purchase","","905","jmdict","2000012","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"売る","うる","uru","N5","verb","TODO_VI","to sell | to vend","","840","jmdict","2000013","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"待つ","まつ","matsu","N5","verb","TODO_VI","to wait | to await","","870","jmdict","2000014","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"会う","あう","au","N5","verb","TODO_VI","to meet | to encounter | to see","","920","jmdict","2000015","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"知る","しる","shiru","N5","verb","TODO_VI","to be aware of | to know | to find out","","875","jmdict","2000016","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"思う","おもう","omou","N5","verb","TODO_VI","to think | to consider | to believe | to feel","","950","jmdict","2000017","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"わかる","わかる","wakaru","N5","verb","TODO_VI","to understand | to comprehend | to grasp | to see | to get","","970","jmdict","2000018","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"できる","できる","dekiru","N5","verb","TODO_VI","to be able to do | to be possible | to be capable of","","960","jmdict","2000019","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"大きい","おおきい","ookii","N5","adjective","TODO_VI","big | large | great | loud | important","","945","jmdict","2000020","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"小さい","ちいさい","chiisai","N5","adjective","TODO_VI","small | little | tiny | petite","","940","jmdict","2000021","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"新しい","あたらしい","atarashii","N5","adjective","TODO_VI","new | novel | fresh | recent | latest","","865","jmdict","2000022","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"古い","ふるい","furui","N5","adjective","TODO_VI","old | ancient | antiquated | used | stale","","860","jmdict","2000023","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"高い","たかい","takai","N5","adjective","TODO_VI","tall | high | expensive | pricey | above average","","935","jmdict","2000024","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"安い","やすい","yasui","N5","adjective","TODO_VI","cheap | low price | inexpensive | peaceful","","845","jmdict","2000025","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"早い","はやい","hayai","N5","adjective","TODO_VI","fast | quick | hasty | early | soon","","835","jmdict","2000026","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"遅い","おそい","osoi","N5","adjective","TODO_VI","slow | late | tardy | overdue","","830","jmdict","2000027","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"長い","ながい","nagai","N5","adjective","TODO_VI","long | lengthy | prolonged","","825","jmdict","2000028","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"短い","みじかい","mijikai","N5","adjective","TODO_VI","short | brief | quick","","820","jmdict","2000029","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
"白い","しろい","shiroi","N5","adjective","TODO_VI","white | pure | innocent","","815","jmdict","2000030","CC BY-SA 3.0 — verify at edrdg.org before production use","JMdict/EDRDG","","","","","ai_draft","jmdict_ai"
